Tube.number,Bird.ID,Inoculation.Date,Treatment,Diet,Clutch#,Egg#,Date.Laid,Egg.Mass.Day.Laid,Egg.Mass.Freezer,Yolk.Mass,sampleID,Estrone,Estradiol,Androstenedione,Testosterone,Dehydroepiandrosterone,Etiocholanolone,11-Ketotestoterone,Progesterone,Pregnenolone,17a-hydroxyprogesterone,17a-hydroxypregnenolone,Dihydroprogesterone,11-Dexoycortisol,Cortisone,5b-dihydrocortisone,20b-DHP,Cortisol,5b-dihydrocortisol,5b-tetrahydrocortisone,5b-tetrahydrocortisol,b-cortol,Corticosterone,5b-tetrahydrocorticosterone,11-tetrahydrocorticosterone,5b-corticosterone,Deoxycorticosterone,20_-dihydrocorticosterone,5_-dihydroproggesterone,Pregnanolone
63,Blue-024,2/24/20,Control,Protein,1,2,4/26/20,2.3634,2.273,0.4592,RP63,0,0,0.9,7,0,112.1,0,68.2,1289.3,0.1,12.02063954,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.5,366.2,29.32636469
64,Blue-045,2/24/20,MG,Protein,1,3,4/26/20,2.2522,2.1734,0.3833,RP64,0,0,3.1,23.5,2.668594679,94.5,0,55.3,1602.6,0.6,35.62336095,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.8,18.50595704
65,Blue-049,1/13/20,Control,Protein,1,3,3/15/20,2.047,1.9464,0.3835,RP65,0,0,1,13.6,2.009764487,99.8,0,137.7,1821.2,0,15.86864905,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,1.1,401.9,72.31638418
66,Blue-035,1/13/20,MG,Protein,1,2,3/13/20,2.1874,2.083,0.3028,RP66,0,0,0.8,8,0,266.8,0,292.2,2427.1,0,31.51018627,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0,1077,106.5609863
67,Blue-039,2/24/20,Control,Lipid,1,3,4/26/20,1.6416,1.5697,0.3584,RP67,0,0,2.1,30.3,2.738233758,230,0,62.3,1882.3,0,22.5688756,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,483.4,56.91964286
68,Blue-035,1/13/20,MG,Protein,1,4,3/15/20,2.4234,2.3315,0.4031,RP68,0,0,0.9,9.8,0.688810654,156.8,0,187.1,1748.4,0,17.18334285,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.5,628.9,72.43860084
69,Blue-043,1/13/20,MG,Lipid,1,1,3/18/20,2.0226,1.8975,0.369,RP69,0,0,16.4,57.3,4.32451133,152.5,0,383.3,2697.1,0.9,27.88758774,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.1,52.39385727
70,SEM 19-76,5/11/20,MG,Lipid,1,1,7/8/20,2.3243,2.2525,0.5063,RP70,0,0,1.5,8.9,0,88.8,0,200.9,1357.5,0,19.7813362,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,357.3,32.39186253
71,Blue-010,5/11/20,Control,Lipid,1,2,7/3/20,1.8038,1.7322,0.4583,RP71,0,0,5.8,25.1,1.46935251,91.3,0,223.8,1884.1,0.3,15.01360232,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4,311.3,37.53000218
72,Blue-042,1/13/20,MG,Protein,1,4,3/18/20,2.2009,2.0908,0.5494,RP72,0,0,3.9,22.6,2.776723544,102.4,0,68.7,1695.9,0,14.1939664,0.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,196.4,28.15192331
